Date : 2022-06-23 18:42:33
Directory : c:\xampp\htdocs\Projet_fin_d_etude
Total : 279 files,  40033 codes, 1993 comments, 2031 blanks, all 44057 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| app\Http\Livewire\Users                                                                                           |          2 |         69 |          2 |         23 |         94 |
| app\Http\Middleware                                                                                               |          8 |         92 |         52 |         35 |        179 |
| app\Models                                                                                                        |         18 |        343 |          0 |        114 |        457 |
| app\Models\elearning                                                                                              |          7 |        120 |          0 |         42 |        162 |
| app\Models\resources                                                                                              |          2 |         28 |          0 |         11 |         39 |
| app\Providers                                                                                                     |          5 |         86 |         62 |         30 |        178 |
| bootstrap                                                                                                         |          1 |         17 |         30 |          9 |         56 |
| config                                                                                                            |         15 |        523 |        718 |        237 |      1,478 |
| database                                                                                                          |         24 |        557 |        250 |         97 |        904 |
| database\factories                                                                                                |          2 |         47 |         35 |          9 |         91 |
| database\migrations                                                                                               |         21 |        499 |        210 |         84 |        793 |
| database\seeders                                                                                                  |          1 |         11 |          5 |          4 |         20 |
| lang                                                                                                              |         13 |      1,152 |        130 |         47 |      1,329 |
| lang\en                                                                                                           |          4 |        143 |         60 |         24 |        227 |
| lang\fr                                                                                                           |          7 |        277 |         70 |         21 |        368 |
| public                                                                                                            |          4 |      3,727 |        349 |        356 |      4,432 |
| public\css                                                                                                        |          1 |      3,096 |          4 |         64 |      3,164 |
| public\js                                                                                                         |          1 |        613 |        315 |        279 |      1,207 |
| resources                                                                                                         |        104 |      6,129 |        128 |        400 |      6,657 |
| resources\css                                                                                                     |          1 |          0 |          0 |          1 |          1 |
| resources\js                                                                                                      |          2 |         13 |         19 |         12 |         44 |
| resources\sass                                                                                                    |         41 |      3,181 |          2 |        120 |      3,303 |
| resources\sass\component                                                                                          |         22 |      2,607 |          0 |         81 |      2,688 |
| resources\sass\component\elearning                                                                                |          8 |        967 |          0 |         11 |        978 |
| resources\sass\component\enseignants                                                                              |          2 |         91 |          0 |          2 |         93 |
| resources\sass\component\posts                                                                                    |          3 |        430 |          0 |          4 |        434 |
| resources\sass\component\profile                                                                                  |          1 |        225 |          0 |          1 |        226 |
| resources\sass\component\resources                                                                                |          1 |        314 |          0 |         52 |        366 |
| resources\sass\phone                                                                                              |          8 |        213 |          0 |          9 |        222 |
| resources\sass\phone\elearning                                                                                    |          1 |          9 |          0 |          1 |         10 |
| resources\sass\phone\profile                                                                                      |          1 |          9 |          0 |          1 |         10 |
| resources\sass\resources                                                                                          |          7 |        239 |          0 |         13 |        252 |
| resources\views                                                                                                   |         60 |      2,935 |        107 |        267 |      3,309 |
| resources\views\layouts                                                                                           |          1 |         39 |          0 |         18 |         57 |
| resources\views\livewire                                                                                          |         59 |      2,896 |        107 |        249 |      3,252 |
| resources\views\livewire\auth                                                                                     |          3 |        138 |          0 |         26 |        164 |
| resources\views\livewire\elearning                                                                                |         24 |      1,303 |          0 |         82 |      1,385 |
| resources\views\livewire\elearning\enseignants                                                                    |          1 |         28 |          0 |          3 |         31 |
| resources\views\livewire\elearning\etudiants                                                                      |          1 |         15 |          0 |          4 |         19 |
| resources\views\livewire\elearning\modules                                                                        |         21 |      1,253 |          0 |         74 |      1,327 |
| resources\views\livewire\elearning\modules\notes                                                                  |          5 |        587 |          0 |         15 |        602 |
| resources\views\livewire\elearning\modules\questions                                                              |          7 |        125 |          0 |         18 |        143 |
| resources\views\livewire\elearning\modules\questions\reponses                                                     |          2 |         38 |          0 |          4 |         42 |
| resources\views\livewire\enseignants                                                                              |          2 |        249 |          0 |         28 |        277 |
| resources\views\livewire\moderator                                                                                |          3 |         65 |          0 |          3 |         68 |
| resources\views\livewire\parts                                                                                    |          1 |         30 |        107 |          7 |        144 |
| resources\views\livewire\posts                                                                                    |         12 |        326 |          0 |         39 |        365 |
| resources\views\livewire\profile                                                                                  |          5 |        225 |          0 |         24 |        249 |
| resources\views\livewire\resources                                                                                |          5 |        217 |          0 |         20 |        237 |
| resources\views\livewire\users                                                                                    |          2 |        107 |          0 |          7 |        114 |
| routes                                                                                                            |          4 |         36 |         34 |         17 |         87 |
| tests                                                                                                             |          4 |         41 |         15 |         19 |         75 |
| tests\Feature                                                                                                     |          1 |         12 |          5 |          5 |         22 |
| tests\Unit                                                                                                        |          1 |         10 |          5 |          4 |         19 |
| vendor                                                                                                            |          2 |          2 |          2 |          1 |          5 |
| vendor\spatie                                                                                                     |          2 |          2 |          2 |          1 |          5 |
| vendor\spatie\ignition                                                                                            |          2 |          2 |          2 |          1 |          5 |
| vendor\spatie\ignition\resources                                                                                  |          2 |          2 |          2 |          1 |          5 |
| vendor\spatie\ignition\resources\compiled                                                                         |          2 |          2 |          2 |          1 |          5 |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                          | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\xampp\htdocs\Projet_fin_d_etude\.styleci.yml                                                                   | YAML       |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\Projet_fin_d_etude\README.md                                                                      | Markdown   |         44 |          0 |         21 |         65 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Console\Kernel.php                                                         | PHP        |         15 |         12 |          6 |         33 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Exceptions\Handler.php                                                     | PHP        |         19 |         17 |          6 |         42 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Controllers\Auth\ConfirmPasswordController.php                        | PHP        |         14 |         20 |          7 |         41 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Controllers\Auth\ForgotPasswordController.php                         | PHP        |          8 |         10 |          5 |         23 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Controllers\Auth\LoginController.php                                  | PHP        |         14 |         20 |          7 |         41 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Controllers\Auth\RegisterController.php                               | PHP        |         33 |         32 |          9 |         74 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Controllers\Auth\ResetPasswordController.php                          | PHP        |         10 |         15 |          6 |         31 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Controllers\Auth\VerificationController.php                           | PHP        |         16 |         20 |          7 |         43 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Controllers\Controller.php                                            | PHP        |         10 |          0 |          4 |         14 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Controllers\HomeController.php                                        | PHP        |         14 |         10 |          5 |         29 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Kernel.php                                                            | PHP        |         40 |         21 |          7 |         68 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Auth\Authentification.php                                    | PHP        |         20 |          0 |          8 |         28 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Auth\Login.php                                               | PHP        |         33 |          0 |         10 |         43 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Auth\Register.php                                            | PHP        |         77 |          0 |         17 |         94 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Elearning.php                                      | PHP        |         20 |          0 |          6 |         26 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Enseignants\Index.php                              | PHP        |         28 |          0 |          9 |         37 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Etudiants\Index.php                                | PHP        |         18 |          0 |          5 |         23 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Category.php                               | PHP        |         59 |          0 |         15 |         74 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Create.php                                 | PHP        |         57 |          0 |         11 |         68 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\CreateCategory.php                         | PHP        |         33 |          0 |          9 |         42 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\CreateDocument.php                         | PHP        |         38 |          0 |         10 |         48 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Index.php                                  | PHP        |         91 |          1 |         16 |        108 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\IndexDocument.php                          | PHP        |         56 |          0 |         13 |         69 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\InscrirModule.php                          | PHP        |         45 |          0 |          8 |         53 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\ModulesInscrit.php                         | PHP        |         21 |          0 |          8 |         29 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Notes\CreateOrUpdate.php                   | PHP        |        115 |          4 |         14 |        133 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Notes\Remplir.php                          | PHP        |         53 |          1 |         13 |         67 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Notes\Show.php                             | PHP        |         50 |          0 |         11 |         61 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Notes\Table.php                            | PHP        |         58 |          0 |         10 |         68 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Questions\Create.php                       | PHP        |         43 |          0 |         10 |         53 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Questions\Delete.php                       | PHP        |         22 |          0 |          6 |         28 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Questions\Index.php                        | PHP        |         22 |          0 |          6 |         28 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Questions\IndexAll.php                     | PHP        |         60 |          0 |         10 |         70 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Questions\Like.php                         | PHP        |         40 |          0 |          8 |         48 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Questions\Reponses\Create.php              | PHP        |         34 |          0 |          8 |         42 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Questions\Reponses\Index.php               | PHP        |         30 |          0 |          8 |         38 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Elearning\Modules\Show.php                                   | PHP        |         51 |          0 |          9 |         60 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Enseignants\Create.php                                       | PHP        |         65 |          0 |         11 |         76 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Enseignants\Index.php                                        | PHP        |        123 |          6 |         22 |        151 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Home.php                                                     | PHP        |         28 |          0 |          7 |         35 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Inscription.php                                              | PHP        |        120 |          6 |         18 |        144 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Moderator\Reports.php                                        | PHP        |         55 |          0 |          9 |         64 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Moderator\Suspendre.php                                      | PHP        |         22 |          0 |          6 |         28 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Moderator\UserCard.php                                       | PHP        |         16 |          0 |          5 |         21 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Parts\Nav.php                                                | PHP        |         23 |          0 |          8 |         31 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\Comment.php                                            | PHP        |         53 |          0 |         12 |         65 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\CreateComment.php                                      | PHP        |         49 |          0 |         11 |         60 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\CreatePost.php                                         | PHP        |         55 |          0 |         16 |         71 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\DeletePost.php                                         | PHP        |         31 |          0 |          7 |         38 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\IndexPost.php                                          | PHP        |         16 |          0 |          5 |         21 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\IndexPosts.php                                         | PHP        |         93 |          7 |          8 |        108 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\IndexUserPosts.php                                     | PHP        |         33 |          0 |          6 |         39 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\Like.php                                               | PHP        |         43 |          0 |          7 |         50 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\LikeComment.php                                        | PHP        |         40 |          0 |          6 |         46 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\ReportPost.php                                         | PHP        |         34 |          0 |          7 |         41 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\SharePost.php                                          | PHP        |         20 |          0 |          5 |         25 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Posts\ShowPost.php                                           | PHP        |         26 |          0 |          6 |         32 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Profile\CreateDocument.php                                   | PHP        |         43 |          0 |          9 |         52 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Profile\Documents.php                                        | PHP        |         38 |          0 |         10 |         48 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Profile\FollowUser.php                                       | PHP        |         37 |          2 |          7 |         46 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Profile\IndexProfile.php                                     | PHP        |        101 |          3 |         20 |        124 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Profile\ReportProfile.php                                    | PHP        |         34 |          0 |          7 |         41 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\CreateCategory.php                                 | PHP        |         33 |          0 |          8 |         41 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\CreateDocument.php                                 | PHP        |         38 |          0 |         10 |         48 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\Index.php                                          | PHP        |         27 |          0 |          9 |         36 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\IndexCategory.php                                  | PHP        |         67 |          2 |         14 |         83 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Resources\IndexDocument.php                                  | PHP        |         55 |          0 |         13 |         68 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Users\Follow.php                                             | PHP        |         42 |          2 |         14 |         58 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Livewire\Users\Search.php                                             | PHP        |         27 |          0 |          9 |         36 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\Authenticate.php                                           | PHP        |         12 |          6 |          4 |         22 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\EncryptCookies.php                                         | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\PreventRequestsDuringMaintenance.php                       | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\RedirectIfAuthenticated.php                                | PHP        |         19 |          8 |          6 |         33 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\TrimStrings.php                                            | PHP        |         11 |          5 |          4 |         20 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\TrustHosts.php                                             | PHP        |         12 |          5 |          4 |         21 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\TrustProxies.php                                           | PHP        |         14 |         10 |          5 |         29 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Http\Middleware\VerifyCsrfToken.php                                        | PHP        |          8 |          6 |          4 |         18 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\CommentLike.php                                                     | PHP        |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\Follow.php                                                          | PHP        |         10 |          0 |          5 |         15 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\Post.php                                                            | PHP        |         26 |          0 |          9 |         35 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\PostComment.php                                                     | PHP        |         22 |          0 |          7 |         29 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\PostLike.php                                                        | PHP        |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\PostReport.php                                                      | PHP        |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\ProfileReport.php                                                   | PHP        |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\User.php                                                            | PHP        |         67 |          0 |         15 |         82 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\UserDocument.php                                                    | PHP        |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\CategoryDocument.php                                      | PHP        |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\EtudientModule.php                                        | PHP        |         10 |          0 |          5 |         15 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\Module.php                                                | PHP        |         27 |          0 |          8 |         35 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\ModuleCategory.php                                        | PHP        |         18 |          0 |          6 |         24 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\ModuleQuestion.php                                        | PHP        |         27 |          0 |          7 |         34 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\QuestionReaction.php                                      | PHP        |         10 |          0 |          5 |         15 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\elearning\QuestionReponse.php                                       | PHP        |         14 |          0 |          6 |         20 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\resources\Category.php                                              | PHP        |         14 |          0 |          6 |         20 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Models\resources\Document.php                                              | PHP        |         14 |          0 |          5 |         19 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Providers\AppServiceProvider.php                                           | PHP        |         12 |         12 |          5 |         29 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Providers\AuthServiceProvider.php                                          | PHP        |         13 |         12 |          6 |         31 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Providers\BroadcastServiceProvider.php                                     | PHP        |         12 |          5 |          5 |         22 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Providers\EventServiceProvider.php                                         | PHP        |         21 |         16 |          6 |         43 |
| c:\xampp\htdocs\Projet_fin_d_etude\app\Providers\RouteServiceProvider.php                                         | PHP        |         28 |         17 |          8 |         53 |
| c:\xampp\htdocs\Projet_fin_d_etude\bootstrap\app.php                                                              | PHP        |         17 |         30 |          9 |         56 |
| c:\xampp\htdocs\Projet_fin_d_etude\composer.json                                                                  | JSON       |         64 |          0 |          1 |         65 |
| c:\xampp\htdocs\Projet_fin_d_etude\composer.lock                                                                  | JSON       |      7,950 |          0 |          1 |      7,951 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\app.php                                                                 | PHP        |         45 |        121 |         32 |        198 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\auth.php                                                                | PHP        |         28 |         70 |         14 |        112 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\broadcasting.php                                                        | PHP        |         32 |         23 |         13 |         68 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\cache.php                                                               | PHP        |         58 |         34 |         19 |        111 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\cors.php                                                                | PHP        |          3 |         29 |          3 |         35 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\database.php                                                            | PHP        |         83 |         45 |         22 |        150 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\filesystems.php                                                         | PHP        |         32 |         32 |         13 |         77 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\hashing.php                                                             | PHP        |         12 |         32 |          9 |         53 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\logging.php                                                             | PHP        |         67 |         34 |         19 |        120 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\mail.php                                                                | PHP        |         52 |         47 |         19 |        118 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\queue.php                                                               | PHP        |         47 |         32 |         15 |         94 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\sanctum.php                                                             | PHP        |         15 |         41 |         12 |         68 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\services.php                                                            | PHP        |         17 |         11 |          7 |         35 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\session.php                                                             | PHP        |         22 |        147 |         33 |        202 |
| c:\xampp\htdocs\Projet_fin_d_etude\config\view.php                                                                | PHP        |         10 |         20 |          7 |         37 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\factories\PostFactory.php                                             | PHP        |         14 |          8 |          4 |         26 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\factories\UserFactory.php                                             | PHP        |         33 |         27 |          5 |         65 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2014_10_12_000000_create_users_table.php                   | PHP        |         30 |         10 |          4 |         44 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2014_10_12_100000_create_password_resets_table.php         | PHP        |         19 |         10 |          4 |         33 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2019_08_19_000000_create_failed_jobs_table.php             | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php  | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_03_31_150630_create_posts_table.php                   | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_05_145109_create_follows_table.php                 | PHP        |         24 |         10 |          4 |         38 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_06_173911_create_post_likes_table.php              | PHP        |         24 |         10 |          4 |         38 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_06_194227_create_post_comments_table.php           | PHP        |         25 |         10 |          4 |         39 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_08_120915_create_post_reports_table.php            | PHP        |         24 |         10 |          4 |         38 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_08_133827_create_profile_reports_table.php         | PHP        |         24 |         10 |          4 |         38 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_08_152438_create_comment_likes_table.php           | PHP        |         24 |         10 |          4 |         38 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_09_195158_create_user_documents_table.php          | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_17_222805_create_modules_table.php                 | PHP        |         28 |         10 |          4 |         42 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_21_003445_create_module_categories_table.php       | PHP        |         22 |         10 |          4 |         36 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_21_231543_create_category_documents_table.php      | PHP        |         23 |         10 |          4 |         37 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_23_000254_create_etudient_modules_table.php        | PHP        |         27 |         10 |          4 |         41 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_23_153523_create_module_questions_table.php        | PHP        |         25 |         10 |          4 |         39 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_25_140542_create_question_reactions_table.php      | PHP        |         24 |         10 |          4 |         38 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_04_30_163535_create_question_reponses_table.php       | PHP        |         22 |         10 |          4 |         36 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_06_05_142719_create_categories_table.php              | PHP        |         19 |         10 |          4 |         33 |
| c:\xampp\htdocs\Projet_fin_d_etude\database\migrations\2022_06_05_142940_create_documents_table.php               | PHP        |         23 |         10 |          4 |         37 |
